,credit,defaultTitle,defaultabstract
2532,SeaDataNet,Mediterranean Sea - Temperature and salinity observation collection V1.1,"""<span><p>SeaDataNet Temperature and Salinity historical data collection contains all open access temperature and salinity in situ data retrieved from SeaDataNet infrastructure at the end of 2013. The data span between -9.25 and 37 degrees of longitude, thus including an Atlantic box and Marmara Sea, and cover the time period 1900-2012.\nData have been quality checked using ODV software. Quality Flags of anomalous data have been revised using basic QC procedures.</p><p>For data access please register at <a href=\""http://www.marine-id.org\"">http://www.marine-id.org</a></p><p>The dataset format is ODV binary collections. You can read, analyse and export from the ODV application provided by Alfred Wegener institute at <a href=\""http://odv.awi.de/\"">http://odv.awi.de/</a></p></span>"""
2533,SeaDataNet,Baltic Sea  - Temperature and salinity observation collection V2,"""<span><p>SeaDataNet Temperature and Salinity historical data collection for the Baltic Sea contains all open access temperature and salinity in situ data retrieved from SeaDataNet infrastructure at the end of 2014.\nData have been quality checked using ODV software. Quality Flags of anomalous data have been revised using basic QC procedures.\nThe dataset is available on authenticated FTP as zip files. You can get access codes from: <a href=\""http://www.marine-id.org\"">http://www.marine-id.org</a>. The dataset format is ODV binary collections. You can read, analyse and export from the ODV application provided by Alfred Wegener institute at <a href=\""http://odv.awi.de/\"">http://odv.awi.de/</a></p><p>For data access please register at <a href=\""http://www.marine-id.org\"">http://www.marine-id.org</a></p></span>"""
2534,SeaDataNet,Black Sea - Temperature and salinity observation collection V1.1,"""<span><p>The Black Sea historical dataset includes all open access temperature and salinity in situ data from the Black Sea and Sea of Azov for period 1868-2013. The data were retrieved from the SeaDataNet infrastructure at the beginning of 2014. Data quality has been analysed and checked using ODV software. Quality Flags of anomalous data have been revised using different QC procedures in conjunction with the visual expert check. Duplicates have been identified and excluded from the dataset.</p><p>Data Providers:</p><ul style=\""list-style: square\""><li>Institute of Fishery Resources (IFR)</li><li>Institute of Biodiversity and Ecosystem Research, Bulgarian Academy of Sciences</li><li>IFREMER / IDM / SISMER - Scientific Information Systems for the SEA</li><li>SHOM (SERVICE HYDROGRAPHIQUE ET OCEANOGRAPHIQUE DE LA MARINE)</li><li>All-Russia Research Institute of Hydrometeorological Information - World Data Centre (RIHMI-WDC) National Oceanographic Data Centre (NODC)</li><li>P.P.Shirshov Institute of Oceanology, RAS</li><li>Southern Scientific Research Institute of Marine Fisheries and Oceanography</li><li>Bulgarian National Oceanographic Data Centre(BGODC), Institute of Oceanology</li><li>Iv.Javakhishvili Tbilisi State University, Centre of Relations with UNESCO Oceanological Research Centre and GeoDNA (UNESCO)</li><li>Institute of Marine Sciences, Middle East Technical University</li><li>National Institute for Marine Research and Development \""Grigore Antipa\""</li><li>Marine Hydrophysical Institute</li><li>Department of Navigation and Hydrography and Oceanography, Turkish Navy</li><li>Karadeniz Technical University, Faculty of Marine Sciences</li><li>Sinop University, Fisheries Faculty</li><li>Institute of Biology of the Southern Seas</li><li>Marine branch of Ukrainian Hydrometeorological Institute</li><li>Ukrainian scientific center of Ecology of Sea (UkrSCES)</li><li>Scientific - Research Firm \""GAMMA\""</li><li>Georgian Institute of Hydrometeorology of Georgian Technical University (GIH)</li><li>Georgian Institute of Water Management of Georgian Technical University (GWMI)</li><li>Ankara University</li><li>Danube Hydro-meteorological Observatory</li></ul><p>For data access please register at <a href=\""http://www.marine-id.org\"">http://www.marine-id.org</a>\nThe dataset format is ODV binary collections. You can read, analyse and export from the ODV application provided by Alfred Wegener institute at <a href=\""http://odv.awi.de/\"">http://odv.awi.de/</a></p></span>"""
2535,"['CEFAS', 'CHARM consortium']",Species and habitats - Raja montagui - All ages - Multi-annual abundance in July during BTS (1989-2006),"""<span><p>Biologic data have been expressed in abundance (numbers or density values (nbr/km²)) and always required to be log-transformed using a log10(x+1) transformation.</p></span>"""
2536,Null,Distribution Model: Spring presence-only habitat suitability of dolphins,"""<span><p>Observations of live dolphins from different datasets collected in France and the United Kingdom were compiled to generate Maxent presence-only habitat suitability models in the CHARM3 study area. These include 7 species of dolphins. The data span from 2002 - 2011 and come from both dedicated and opportunistic surveys from land, sea, or air.</p></span>"""
2537,Null,Localisation des conteneurs perdus en mer,"""<span><p>Conteneurs perdus en mer dans les sous-régions marines golfe de Gascogne, mers celtiques et Manche mer du Nord.</p></span>"""
2538,Natura 2000,Carte des habitats benthiques côtiers du site Natura 2000 des Roches de Penmarc’h,"""<span><p>La cartographie des habitats benthiques du site Natura 2000 en mer des Roches de Penmarc'h a été réalisée dans le cadre de la convention Natura 2000 Bretagne et du programme Interreg MeshAtlantic. \nElle provient de l'interprétation des acquisitions de données en zone intertidale et subtidale réalisées entre 2011 et 2012. La carte G du SHOM (Nature des fonds, échelle 1 : 100 000) a également été utilisée localement dans le processus d’interpolation.\nLa classification des habitats  a été établie selon les principaux référentiels à savoir :</p><ul style=\""list-style: square\""><li>La typologie des habitats génériques de la directive habitats,</li><li>Les habitats élémentaires des cahiers d’habitats,</li><li>La typologie Rebent selon les trois niveaux,</li><li>Le standard européen EUNIS au niveau le plus détaillé possible.</li></ul></span>"""
2539,"['Ifremer', 'CHARM Consortium']",Fishing activities - Raja montagui (Spotted ray) - Landings statistics (2000-2006),"""<span><p>Landings in tonnes of live fish per quarter: mean over 7 years (2000-2006), France and United Kingdom</p></span>"""
2540,Null,Cartographie des bruits impulsifs sous-marins : répartition spatiale et calendaire des émissions potentiellement nuisibles,"""<span><p>La cartographie des bruits impulsifs est une cartographie du nombre de jours potentiels d'émissions sonores sous-marines, sur la bande de fréquences de 10 Hz à 10 kHz, cumulés de 2004 à 2010, en ZEE française métropolitaine (sur des mailles de 15’ de côté).</p></span>"""
2541,-- Ifremer Martinque - Conseil général de la Martinique --,Carte des ports - (Version Ifremer et Conseil général),Null
2542,Producteurs de données : Station Marine Banyuls,Climate and Human-induced Alterations in Carbon Cycling at the River  - CHACCRA -,"""<span><p>L'objectif de CHACCRA est d'étudier les flux de carbone et de simuler leur changement lors des modifications du climat et de l'hydrologie au débouché du Rhône, fleuve majeur de la Méditerranée occidentale, et dans le Golfe du Lion, la zone côtière adjacente. CHACCRA est une composante de l'initiative.</p></span>"""
2543,"Atlas BentHal, Ifremer, 2016","Distribution de Distolambrus maltzami (CPERM 7199, AphiaID 442261) en ATLANTIQUE","""<span><p>Distribution du taxon Distolambrus maltzami établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)</p></span>"""
2544,"['IFREMER', 'CHARM consortium']","Species and habitats - Raja clavata - All ages - IBTS Multi-annual abundance in summer (1991-2000, 2001-2010)","""<span><p>Due to data paucity, the interpolated maps were computed using all the data available over two periods : 1991-2000 and 2001-2010. Biologic data have been expressed in abundance (numbers or density values (nbr/km²)) and always required to be log-transformed using a log10(x+1) transformation.</p></span>"""
2545,"Atlas BentHal, Ifremer, 2016","Distribution de Caryophyllia (Caryophyllia) smithii (CPERM 4385, AphiaID 135144) en ATLANTIQUE","""<span><p>Distribution du taxon Caryophyllia (Caryophyllia) smithii établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)</p></span>"""
2546,Null,145_DTM_CNR-ISMAR-22_Adriatic_singlebeam,"""<span><p>Bathymetry of the Adriatic Sea compiled by CNR-ISMAR for the Italian side of the Adriatic Sea to illustrate the main geological features of the Western Adriatic Basin using a single beam echosouder.</p></span>"""
2547,Null,DTM_CoNISMa_UNIPA_01_South Tyrrhenian Sea,"""<span><p>The data were acquired with a Seabat 8160 (50 khz) multibeam echosouder mounted on board of:  the CoNISMa research vessel \""Universitatis\""; the SO.PRO.MAR research vessel \""Minerva Uno\""; the  UNIPA research vessel \""A. Borzì\"" (chief scientist Attilio Sulli; party chief Attlio Sulli). The main objective of this cruise was to study the instability processes along the Northern Sicilian continental margin (Offshore Palermo-Ustica, Offshore Cefalù, Offshore San Vito-Egadi). Weather conditions were good during the acquisition.</p></span>"""
2548,LIENSs - UMR 7266,Ouvrages de défense en 1978 de 4 communes de la Réunion,"""<span><p>ouvrage_defense_1978 représente les différents ouvrages de défense des côtes des 4 communes d'étude de la Réunion : Saint-Denis, le Port, Saint-Paul et Saint-Pierre. Cette donnée a également été créée pour 1950 et 2012.</p></span>"""
2549,LIENSs - UMR 7266,Pied de plage en 1950 de quatre communes de la Réunion,"""<span><p>pied_plage_1950 est une polyligne qui indique la position du pied de plage (en fonction des configurations : limite entre sable et platier récifal ou ligne interne de déferlement des vagues) de 4 communes d'étude de la Réunion : Saint-Denis, Le Port, Saint-Paul et Saint-Pierre. Cette donnée a été créée dans le cadre du projet VulneraRe et sert à analyser les évolutions de la position du trait de côte et de la zone tampon. Cette couche existe également pour les années 1978 et 2011.</p></span>"""
2550,LIENSs - UMR 7266,Altitude et distance au trait de côte des routes de l'île d'Oléron en 2010,"""<span><p>route_distAlti_300m renseigne sur l'altitude et la distance au trait de côte des routes dans une bande de 300m de large sur les 4 communes d'étude du programme de recherche RISKS : Saint-Pierre-d'Oléron, Le Château-d'Oléron, Saint-Georges-d'Oléron et Saint-Trojan-les-Bains.</p></span>"""
2551,Ifremer,Abondance de juvéniles de céteau (Dicologlossa cuneata) observée lors des campagnes scientifiques sur la période 2000 – 2009,"""<span><p>L'abondance de juvéniles de céteau (Dicologlossa cuneata) est exprimée en nombre d’individus par km² et observée lors des campagnes halieutiques de l'Ifremer utilisant un engin de pêche ”traînant de fond” : Nurse Loire et Gironde (2000-2003), Nurse Vilaine (2003-2009), PECOS (2004-2006). Données utilisées dans le cadre d'une étude  visant à l'identification de zones de moindres contraintes pour l'exploitation de granulats marins (étude confiée par le Ministère chargé de l'écologie).</p></span>"""
2552,Null,Périmètre du site enquêté pour le chalut à la perche,"""<span><p>Cette couche représente le périmètre du site enquêté pour le chalut à la perche</p></span>"""
2553,"['IFREMER', 'CHARM consortium']",Species and habitats - Liocarcinus depurator - Presence probability (2006-2012),"""<span><p>Abundances were recoded in term of presence-absence. Geostatistical interpolation : the spatial variation of biological data were analysed using GENSTAT (GENSTAT 7 Committee, 2004), which is a GENeral STATistics package including the main geostatistical tools. It computes experimentala variograms, fits these with various authorised mathematical models and uses them to calculate kriged estimates on a fine regular grid (of latitudes and longitudes). The grid of points was imported into ArcMap and interpolated with the Spatial Analyst extension in order to create a continuous raster of 1 km² resolution. The resulting maps illustrate the spatial distributions and the variations over time for biological data studied in CHARM's area. For legends of maps, approximates of the 5th and the 95th quantiles were used for the minimales and maximales values respectively.</p></span>"""
2554,Medbenth,Carte des biocénoses benthiques ou types de fond de la zone Natura 2000 de l'île du Levant (Hyères - Var),"""<span><p>Cette cartographie des habitats benthiques porte sur toute la zone marine du site Natura 2000 du Levant qui s'étend jusqu'à l'isobathe -50m et représente environ 1105 ha.</p></span>"""
2555,Null,Zones de pêche des lançons dans le département du Finistère,"""<span><p>Zones de pêche des lançons dans le département du Finistère.\nDonnées fournies par la DDAM du Finistère.</p></span>"""
2556,Null,Cartographie des habitats naturels intertidaux de substrat meuble de l'archipel de Chausey selon la typologie Natura 2000. Carte 2/2 : positionnement des herbiers à Zostera noltii de l'archipel de Chausey sous forme de points. État 2002-2006.,"""<span><p>Carte des habitats élémentaires Natura 2000 des substrats meubles intertidaux de l'archipel de Chausey (Partie 2/2 : positionnements des herbiers à Zostera noltii) au 1/25000. Cette carte a été établie à partir de photo-interprétation, d'observations et de prélèvements sur l'estran.</p></span>"""
2557,"['IFREMER', 'CHARM consortium']","Species and habitats - Raja clavata - All ages Female - Mean abundance in October, standard deviation and summed kriging error maps during CGFS (1988-2006)","""<span><p>Biologic data have been expressed in abundance (numbers or density values (nbr/km²)) and always required to be log-transformed using a log10(x+1) transformation. Abundance mean (mean) and standard deviation (st) have been calculated. The sum of the kriging error for each yearly kriged abundance fits to the kriging error (v).</p></span>"""
2558,"Atlas BentHal, Ifremer, 2016","Distribution de Peltaster placenta (CPERM 3685, AphiaID 124055) en ATLANTIQUE","""<span><p>Distribution du taxon Peltaster placenta établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)</p></span>"""
2559,Ifremer,Abondance de juvéniles de barbue (Scophthalmus rhombus) observée lors des campagnes scientifiques sur la période 2005 – 2009,"""<span><p>L'abondance de juvéniles de barbue (Scophthalmus rhombus) est exprimée en nombre d’individus par km² et observée lors de la campagne halieutique de l'Ifremer utilisant un engin de pêche ”traînant de fond” : Baie de Somme (2005-2009). Données utilisées dans le cadre d'une étude  visant à l'identification de zones de moindres contraintes pour l'exploitation de granulats marins (étude confiée par le Ministère chargé de l'écologie).</p></span>"""
2560,"©Ifremer-Shom, 2014","Bathy-morphologie régionale de la façade Manche et Atlantique (édition 2014, résolution 100m)","""<span><p>Modèle bathymétrique (MNT) à 100m de résolution de la façade Atlantique et Manche à partir d'une compilation des principales sources de données bathymétriques françaises.\nLa modélisation a été effectuée en 2010.\nTarif de référence : 2252€</p></span>"""
2561,Null,DGM-W Unter-/Außenems-2015,"""<span><p>High Resolution Digitil Terrain Model of the river Ems and the Ems approach.</p></span>"""
2562,AVISO+,Produits FSLE (exposants de Lyapunov et orientations),"""<span><p>Multimission altimeter products derived from Ssalto/Duacs products.</p></span>"""
2563,"GIML, TCO",Sites d'intervention prioritaire du Programme Intercommunal de Lutte contre l'Habitat Indigne (PILHI) sur le territoire du TCO de l'île de la Réunion,"""<span><p>Localisation des sites d'intervention prioritaire du PILHI Programme Intercommunal de Lutte contre l'Habitat Indigne sur les cinq communes du territoire du TCO de l'île de la Réunion (Le Port, La Possession, Saint-Paul, Saint-Leu, Trois Bassins).</p></span>"""
2564,"['CEFAS', 'CHARM consortium']",Species and habitats - Spondyliosoma cantharus - Immature - Preferential habitat in July modelled by Generalised Linear Modelling and its uncertainty with BTS data,"""<span><p>Modelised abundance of species or prediction uncertainty.</p></span>"""
2565,Null,Carte des habitats intertidaux et subtidaux du site Natura 2000 FR5300032 Belle-Ile en mer (2006) [Partie 1/2],"""<span><p>Cette carte des habitats intertidaux et subtidaux (jusqu'à l'isobathe des 20 m) du site Natura 2000 FR5300032 Belle-Ile en mer a été réalisée en mai 2006 par le bureau d'études télédétection et biologie marine (TBM) à la demande de la DIREN Bretagne dans le cadre du réseau européen Natura 2000.</p></span>"""
2566,"Agence des aires marines protégées, Bretagne Vivante",Grille théorique pour le suivi d'observations d'oiseaux marins,"""<span><p>Grille théorique dont l’espacement entre deux transects est de 1 mile nautique et l’axe est décrite sur quatre secteurs de la sous-région marine Manche mer du nord.</p><p>•\tIroise  •\tNord Bretagne  •\tBaie de Seine  •\tNord-Pas-de-Calais </p><p>Selon le contexte le gestionnaire utilise par la suite à une distance inter transect de 1 / 2 / 4 MN.</p></span>"""
2567,"['IFREMER', 'CHARM consortium']","Species and habitats - Mullus surmuletus - Mature - Mean abundance in October, standard deviation and summed kriging error maps during CGFS (1988-2006)","""<span><p>Biologic data have been expressed in abundance (numbers or density values (nbr/km²)) and always required to be log-transformed using a log10(x+1) transformation. Abundance mean (mean) and standard deviation (st) have been calculated. The sum of the kriging error for each yearly kriged abundance fits to the kriging error (v).</p></span>"""
2568,"['IFREMER', 'CHARM consortium']",Species and habitats - Scomber scombrus - All ages - Multi-annual abundance in October during CGFS (1988-2006),"""<span><p>Biologic data have been expressed in abundance (numbers or density values (nbr/km²)) and always required to be log-transformed using a log10(x+1) transformation.</p></span>"""
2569,"GIML REUNION (Cirad, Ifremer, Université Réunion, Usage & Territoire)",Emprise spatiale du bati situé hors des zones urbaines réglementaires (mitage) sur le territoire couvert par le projet GIML à La Réunion.,"""<span><p>la couche décrit l'emprise spatiale du bati situé hors des zones urbaines réglementaires, également appelé \""mitage\"". Données produites dans le cadre d'un projet financé par l'ANR.</p></span>"""
2570,Null,Isoligne de la vitesse du vent,"""<span><p>Isoligne de la vitesse du vent</p></span>"""
2571,ATLAS POLMAR (UBO),Indice de sensibilité socio-économique - Île de La Réunion (DCE-POLMAR-RUN),"""<span><p>Cet indice de sensibilité socio-économique du littoral dépend de l'importance des activités présentes sur une portion du littoral, et de leur sensibilité temporelle. Une appréciation simple a été proposée dans le cadre de la mise à jour de l'atlas de sensibilité du littoral réunionnais à une pollution marine par hydrocarbures : le nombre d'activités économiques marchandes propres à l'espace marin et côtier a été comptabilisé (au sein des IRIS Littoraux), tout en attribuant la note la plus élevée (10) à un IRIS dès lors qu'une prise d'eau de mer y est implantée, et en attribuant une note minimale de 5 aux IRIS dont l'espace marin fait l'objet d'une exploitation aquacole.</p></span>"""
2572,Ifremer - IUEM/LDO,"Carte des chenaux de l'édifice axial - fleuve Congo (Picot M., 2015)","""<span><p>Carte des chenaux de l'édifice axial - fleuve Congo (Picot M., 2015) réalisée pendant les travaux de thèse de :\nPicot Marie (2015). Cycles sédimentaires dans le système turbiditique du Congo : nature et origine. PhD Thesis, Université de Bretagne Occidentale.<a href=\""http://archimer.ifremer.fr/doc/00312/42275/\"">http://archimer.ifremer.fr/doc/00312/42275/</a> ;\net publiée dans \""Controls on turbidite sedimentation: Insights from a quantitative approach of submarine channel and lobe architecture (Late Quaternary Congo Fan)\"". M. Picot,L. Droz,T. Marsset,B. Dennielou,M. Bez. Marine and Petroleum Geology. April 2016.<a href=\""http://dx.doi.org/10.1016/j.marpetgeo.2016.02.004\"">http://dx.doi.org/10.1016/j.marpetgeo.2016.02.004</a></p></span>"""
2573,TORSOOI : Kelonia/Ifremer,Densité d'utilisation de l'espace par les tortues vertes femelles en migration post-reproductive.,"""<span><p>Cette représentation graphique illustre les couloirs migratoires des tortues vertes en migration post-reproductive depuis les principaux sites de ponte du Sud-Ouest de l'océan Indien. Elle se base sur 77 trajets de tortues vertes acquis entre 1998 et 2012 à partir des sites de pontes  Europa, Glorieuses, Juan de Nova, Mayotte, Mohéli, Mozambique et Tromelin. Le modèle utilisé pour extrapoler les données est une approche MKDE. Pour plus de renseignements sur la méthode, voir Bourjea et al. 2013.\nCes suivis ont eu lieu dans le cadre du projet \""DYMITILE\"" Kelonia / Ifremer.</p></span>"""
2574,Emodnet chemistry,North Sea DIVA 4D analysis of Water_body_total_nitrogen,"""<span><p>This gridded product visualizes 1960 - 2014 water body total nitrogen concentration (umol/l) in the North Sea domain, for each season (winter: December &ndash; February; spring: March &ndash; May; summer: June &ndash; August; autumn: September &ndash; November).</p><p>It is produced as a Diva 4D analysis, version 4.6.11: a reference field of all seasonal data between 1960-2014 was used; results were logit transformed to avoid negative/underestimated values in the interpolated results; error threshold masks L1 (0.3) and L2 (0.5) are included as well as the unmasked field.</p><p>Every step of the time dimension corresponds to a 10-year moving average for each season.</p><p>The depth dimension allows visualizing the gridded field at various depths.</p></span>"""
2575,Emodnet chemistry,Atlantic Sea DIVA 4D analysis of Water_body_silicate,"""<span><p>Moving 10-years analysis of Silicate at Atlantic Sea for each season.</p><ul style=\""list-style: square\""><li>winter: January-March,</li><li>spring: April-June,</li><li>summer: July-September,</li><li>autumn: October-December</li></ul><p>Every year of the time dimension corresponds to the 10-year centred average of each season. Decades span </p><ul style=\""list-style: square\""><li>from 1963-1972 until 2005-2014 (winter)</li><li>from 1979-1988 until 2005-2014 (spring)</li><li>from 1990-1999 until 2005-2014 (summer)</li><li>from 1964-1973 until 2005-2014 (autumn)</li></ul><p>Observational data span from 1962 to 2014. Depth range (IODE standard depths): -3000.0, -2500.0, -2000.0, -1750, -1500.0, -1400.0, -1300.0, -1200.0, -1100.0, -1000.0, -900.0, -800.0, -700.0, -600.0, -500.0, -400.0, -300.0, -250.0, -200.0, -150.0, -125.0, -100.0, -75.0, -50.0,-40.0,  -30.0, -20.0, -10.0, -5.0, -0.0</p><p>Data Sources: observational data from SeaDataNet/EMODNet Chemistry Data Network.</p><p>Description of DIVA analysis: Geostatistical data analysis by DIVA (Data-Interpolating Variational Analysis) tool. GEBCO 1min topography is used for the contouring preparation. Analyzed filed masked using relative error threshold 0.3 and 0.5 DIVA settings. Signal to noise ratio and correlation length were optimized and filtered vertically and a seasonally-averaged profile was used. Logarithmic transformation applied to the data prior to the analysis. Background field: the data mean value is subtracted from the data. Detrending of data: no, Advection consraint applied: no.\nUnits: umol/l</p></span>"""
2576,Null,2243_EMODNet Regional DTM of the Belgium Continental Shelf (Version 5),"""<span><p>Source data for the EMODNet DTM for the Belgium Continental Shelf (BCP) is compiled by the Vlaamse Hydrografie (<a href=\""http://www.vlaamsehydrografie.be/\"">http://www.vlaamsehydrografie.be/</a>) at a resolution of 60x60 meter. \nThe data set covers the Belgium Continental shelf area.</p></span>"""
2577,"© IGN, Ifremer, Photothèque nationale; Traitements financés par l'Agence des Aires Marines Protégées",Photos anciennes - Outre Mer - Mayotte 1950,"""<span><p>Il s'agit de clichés noir et blanc du littoral d'outre-mer. Les années de prises de vue s'échelonnent entre 1919 et 1958. Du fait d'un archivage correct dans une salle climatisée, leur état de conservation est resté remarquable. Une partie d'entre elles sont rangées en album avec un numéro et un plan d'assemblage. D'autres sont stockées dans des boîtes de carton plus ou moins organisées. Le reste est en vrac. Elles existent en général sous forme de clichés. Mais on trouve dans cette collection également quelques photos sur plaques de verre qui sont en fait les originaux et quelques films négatifs.</p></span>"""
2578,"© SHOM, Ifremer, Photothèque nationale; Traitements financés par Cap l'Orient agglomération",Photos anciennes - Bretagne - Morbihan 1924,"""<span><p>Il s'agit de clichés noir et blanc du littoral métropolitain. Les années de prises de vue s'échelonnent entre 1919 et 1958. Du fait d'un archivage correct dans une salle climatisée, leur état de conservation est resté remarquable. Une partie d'entre elles sont rangées en album avec un numéro et un plan d'assemblage. D'autres sont stockées dans des boîtes de carton plus ou moins organisées. Le reste est en vrac. Elles existent en général sous forme de clichés. Mais on trouve dans cette collection également quelques photos sur plaques de verre qui sont en fait les originaux et quelques films négatifs.</p></span>"""
2579,"© IGN, Ifremer, Photothèque nationale; Traitements financés par la Communauté de communes de l'Ile de Ré",Photos anciennes - Charente Maritime - Ile de Ré en 1950,"""<span><p>Il s'agit de clichés en noir et blanc datant de 1950. Les prises de vue recouvrent l’intégralité de l'Ile de Ré (littoral et intérieur de l'île).</p></span>"""
2580,"© SHOM, Ifremer, Photothèque nationale; Traitements financés par le BRGM, l'ONF et le Conservatoire du Littoral dans le cadre de l'Observatoire de la Côte Aquitaine",Photos anciennes - Aquitaine - Pyrénées Atlantiques de 1935 à 1938,"""<span><p>Il s'agit de clichés noir et blanc du littoral métropolitain. Les années de prises de vue s'échelonnent entre 1919 et 1958. Du fait d'un archivage correct dans une salle climatisée, leur état de conservation est resté remarquable. Une partie d'entre elles sont rangées en album avec un numéro et un plan d'assemblage. D'autres sont stockées dans des boîtes de carton plus ou moins organisées. Le reste est en vrac. Elles existent en général sous forme de clichés. Mais on trouve dans cette collection également quelques photos sur plaques de verre qui sont en fait les originaux et quelques films négatifs.</p></span>"""
2581,"© SHOM, Ifremer, Photothèque nationale; Traitements financés par la DDE Vendée (Service maritime et des risques)","Photos anciennes - Pays de la Loire - Vendée 1920, 1921","""<span><p>Il s'agit de clichés noir et blanc du littoral métropolitain. Les années de prises de vue s'échelonnent entre 1919 et 1958. Du fait d'un archivage correct dans une salle climatisée, leur état de conservation est resté remarquable. Une partie d'entre elles sont rangées en album avec un numéro et un plan d'assemblage. D'autres sont stockées dans des boîtes de carton plus ou moins organisées. Le reste est en vrac. Elles existent en général sous forme de clichés. Mais on trouve dans cette collection également quelques photos sur plaques de verre qui sont en fait les originaux et quelques films négatifs.</p></span>"""
2582,"['CEFAS', 'CHARM consortium']",Species and habitats - Raja montagui - All ages Male - Potential habitat in October modelled by Quantile Regression and its uncertainty with CGFS data,"""<span><p>Modelised abundance of species or prediction uncertainty.</p></span>"""
2583,CEREMA,Zones de protection des zones de plageage,"""<span><p>Cette couche représente les protections des zones de plageage: reconnaissance des plages adaptées à un débarquement de troupes et de matériel</p></span>"""
2584,"['DPMA', 'Terra Maris', 'Ifremer']",Arrêté n° 275/2006 du 13 juillet 2006,"""<span><p>Arrêté n° 275/2006 du 13 juillet 2006 portant approbation de la délibération « Moules -AY/VA-2006-A » du 16 juin 2006 du comité régional des pêches maritimes et des élevages marins de Bretagne portant création et fixant les conditions d'attribution de la licence des moules sur l'ensemble du littoral des quartiers des affaires maritimes de Vannes et Auray.</p></span>"""
2585,Ifremer,Abondance d’œufs de cardine franche (Lepidorhombus whiffiagonis) observée lors de la campagne scientifique IBTS sur la période 2006 – 2010,"""<span><p>L'abondance d’œufs de cardine franche (Lepidorhombus whiffiagonis) est exprimée en nombre d’œufs par m3. Les œufs ont été prélevés lors de la campagne IBTS (2006-2010) avec une pompe (CUFES) qui filtre les particules de plus de 500 microns. Données utilisées dans le cadre d'une étude visant à l'identification de zones de moindres contraintes pour l'exploitation de granulats (étude confiée par le Ministère chargé de l'écologie).</p></span>"""
2586,IGN,Réseau routier français par département - spécifique Humboldt,"""<span><p>Ces données vectorielles rassemble l'ensemble des routes françaises par département.</p></span>"""
2587,Null,Tables conchylicoles,"""<span><p>La société Géosystème NASCA (brest) a numérisé l'emplacement des tables ostréicoles pour l'étang de Thau et de Leucate.</p></span>"""
2588,E.U. Copernicus Marine Service Information,Baltic Sea Physics Reanalysis,"""<span><p><i>Short description:</i>'</p><p>This Baltic Sea Physical Reanalysis product provides a 24 years physical reanalysis for the Baltic Sea (1993-2016) using the ice-ocean model NEMO-Nordic (based on NEMO-3.6, Nucleus for European Modelling of the Ocean) together with LSEIK data assimilation. The surface variables are available every hour and include sea surface height, ice concentration and total ice thickness. The other variables, available as daily and monthly means, are salinity, temperature, horizontal current components, mixed layer depth, bottom salinity and bottom temperature.\nThe observation types used in the data assimilation are sea surface temperature and profiles of salinity and temperature. The reanalysis has been produced using 72-hour cycling, which implies that every 72 hours, all available observations are assimilated into the model before a 72-hour forecast is made.</p></span>"""
2589,"['IFREMER', 'CHARM consortium']","Species and habitats - Trisopterus luscus - All ages - IBTS Multi-annual abundance in summer (1991-2000, 2001-2010)","""<span><p>Due to data paucity, the interpolated maps were computed using all the data available over two periods : 1991-2000 and 2001-2010.  Biologic data have been expressed in abundance (numbers or density values (nbr/km²)) and always required to be log-transformed using a log10(x+1) transformation.</p></span>"""
2590,"['DPMA', 'Terra Maris', 'Ifremer']",Arrêté n° 86/2006 du 21 avril 2006,"""<span><p>Arrêté n° 86/2006 du 21 avril 2006 portant approbation de la délibération \""Algues-NF-2006-B2\"" du 31 mars 2006 du CRPMEM de Bretagne relative à l'organisation de la campagne 2006 pour la pêche de l'algue Laminaria hyperborea sur le littoral de la région Bretagne. EXPIRE</p></span>"""
2591,Null,Localisation des événements de pollutions majeurs ayant fait l'objet d'arrivage de produits sur le littoral,"""<span><p>Les pollutions accidentelles concernent des arrivages de produits sur le littoral et non reliés à un accident majeur. Elles sont situées dans les sous régions DCSMM Manche mer du Nord, Mers Celtiques, Golfe de Gascogne et Méditerannée occidentale.</p></span>"""
2592,"['CEFAS', 'CHARM consortium']",Species and habitats - Microstomus kitt - Mature - BTS annual abundance in July (1989-2006),"""<span><p>Biologic data have been expressed in abundance (numbers or density values (nbr/km²) and always required to be log-transformed using a log10(x+1) transformation)</p></span>"""
2593,Ifremer,Abondance de poulpe blanc (Eledone cirrhosa) observée lors des campagnes scientifiques sur la période 2005 – 2010,"""<span><p>L'abondance de poulpe blanc (Eledone cirrhosa) est exprimée en nombre d’individus par km² et observée lors des campagnes halieutiques de l'Ifremer utilisant un engin de pêche ”traînant de fond” : EVHOE (2005-2009), LANGOLF (2006-2009), ORHAGO (2007-2010). Données utilisées dans le cadre d'une étude visant à l'identification de zones de moindres contraintes pour l'exploitation de granulats marins (étude confiée par le Ministère chargé de l'écologie).</p></span>"""
